depth,text
0,Quel est le contexte de ta situation ?
0,Que s'est-il passé précisément ?
0,Peux-tu m'expliquer en détail ce qu'il s'est passé ?
0,Qu'est-il arrivé à ce moment là ?
1,Qu'est-ce que tu as fait à ce moment là ?
1,Quelles ont été tes réactions face à cette situation ?
1,Quelle a été ta manière de réagir à ce moment ?
2,A quoi pensais-tu à ce moment là ?
2,Qu'est-ce que tu as vu à ce moment là ?
2,Qu'est-ce que tu as entendu à ce moment là ?
2,Dans quel état mental étais-tu à ce moment ?
3,Qu'est-ce que tu as ressenti à ce moment là ?
3,Quelle a été ton émotion dominante dans cette situation ?
4,Selon toi quels sont les éléments qui ont déclenchés ces émotions ?
4,D'après toi qu'est-ce que qui a fait que tu t'es senti comme ça ?
4,En quoi ce que tu as fait est en accord avec tes croyances ?
5,Comment t'es tu vu(e) à ce moment là ?
0,Peux-tu donner l'exemple le plus représentatif du problème pour toi ?
0,Peux-tu donner un exemple le plus précis possible du problème ?
5,Quel est votre rôle dans cette situation ?
